,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
0,68140,Peak District Ultras,Millstone 100,United Kingdom,solo,166.9,4520.0,-4520.0,10,150,GBR,2021,09,03,25,212.10000000000002,0.2131070249882131
1,72496,UTMB®,UTMB®,France,solo,170.7,9930.0,-9930.0,11,2300,FRA,2021,08,27,1526,270.0,0.36777777777777776
2,69855,Grand Raid des Pyrénées,Ultra Tour 160,France,solo,167.0,9980.0,-9980.0,13,600,FRA,2021,08,20,455,266.8,0.3740629685157421
3,67856,Persenk Ultra,PERSENK ULTRA,Bulgaria,solo,164.0,7490.0,-7500.0,13,150,BGR,2021,08,20,55,238.9,0.31352030138133113
4,70469,Runfire Salt Lake Ultra,100 Mile,Turkey,solo,159.9,100.0,-100.0,12,13,TUR,2021,08,20,13,160.9,0.006215040397762585
5,66887,Swiss Alps 100,160KM,Switzerland,solo,159.9,9850.0,-9850.0,15,300,CHE,2021,08,15,50,258.4,0.3811919504643963
6,67851,Salomon Rondane 100,Salomon Rondane 100,Norway,solo,163.8,5460.0,-5460.0,5,23,NOR,2021,08,14,23,218.4,0.25
7,68241,Ultra Trail des Sources,160KM,Belgium,solo,163.9,4630.0,-4660.0,8,200,BEL,2021,08,14,68,210.2,0.22026641294005708
8,70241,Québec Mega Trail (QMT),QMT-100-MILE,Canada,solo,158.9,6410.0,-6240.0,13,120,CAN,2021,08,13,80,223.0,0.2874439461883408
9,69945,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,Sweden,solo,163.7,3100.0,-3100.0,23,100,SWE,2021,08,07,3,194.7,0.15921931176168466
10,67218,Centurion North Downs Way 100,Centurion North Downs Way 100,United Kingdom,solo,165.2,3130.0,-3170.0,13,300,GBR,2021,08,07,111,196.5,0.15928753180661578
11,65713,Beacons 50 & Beacons 100,Beacons 100,United Kingdom,solo,164.8,7050.0,-7050.0,5,50,GBR,2021,08,06,22,235.3,0.2996175095622609
12,66425,Iznik Ultra,160 K,Turkey,solo,149.4,2930.0,-3040.0,12,100,TUR,2021,08,06,21,178.70000000000002,0.1639619473978735
13,66003,KAT100,KAT100miles,Austria,solo,173.9,9980.0,-9980.0,15,170,AUT,2021,08,05,31,273.7,0.36463280964559736
14,71873,Alpindustria Elbrus Race,ElbrusWorldRace,Russia,solo,169.9,9010.0,-9010.0,0,120,RUS,2021,07,30,54,260.0,0.3465384615384615
15,69219,Burning River Endurance Run,Burning River 100 Mile,United States,solo,163.7,2700.0,-2700.0,14,250,USA,2021,07,24,170,190.7,0.1415836392239119
16,68455,The Gax 100 miles,The Gax 100 miles,Sweden,solo,162.3,1510.0,-1510.0,3,75,SWE,2021,07,24,32,177.4,0.0851183765501691
17,68575,Terres Monviso,100 Miglia Monviso,Italy,solo,168.8,8380.0,-8380.0,17,300,ITA,2021,07,23,157,252.60000000000002,0.3317498020585906
18,69019,The Gax 100 miles,The Gax 100 miles Tuesday,Sweden,solo,162.3,1500.0,-1500.0,3,50,SWE,2021,07,20,27,177.3,0.08460236886632826
19,67244,Tahoe Rim Trail Endurance Runs 100M/50M/55K,100 Mile,United States,solo,161.1,6170.0,-6160.0,7,300,USA,2021,07,17,100,222.8,0.2769299820466786
20,68776,Ultra Tour des 4 Massifs,Ut4M 160 Xtrem,France,solo,179.1,11290.0,-11350.0,17,473,FRA,2021,07,16,473,292.0,0.3866438356164384
21,68778,Ultra Tour des 4 Massifs,Ut4M 160 Challenge,France,solo,173.1,11810.0,-11710.0,12,545,FRA,2021,07,15,545,291.2,0.4055631868131868
22,67515,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Australia,solo,160.5,7580.0,-7610.0,7,50,AUS,2021,07,10,42,236.3,0.32077867118070247
23,70168,Centurion Wendover Woods 100,Wendover Woods 100,United Kingdom,solo,168.0,6610.0,-6600.0,19,120,GBR,2021,07,09,18,234.1,0.28235796668090557
24,67118,Elephant Trail Race,160 Km (100 Mile),Australia,solo,163.2,8650.0,-8630.0,13,100,AUS,2021,07,09,8,249.7,0.34641569883860635
25,67402,NUTS Ylläs Pallas,160K,Finland,solo,164.3,4020.0,-4100.0,8,250,FIN,2021,07,09,127,204.5,0.19657701711491443
26,71066,ULTRA 01,Ultra 01 170 KM,France,solo,174.9,7590.0,-7590.0,15,500,FRA,2021,07,09,127,250.8,0.3026315789473684
27,64191,Val d’Aran by UTMB®,VDA,Spain,solo,162.9,10690.0,-10690.0,14,1500,ESP,2021,07,09,944,269.8,0.39621942179392144
28,69065,Austria Backyard Ultra,24 LOOPS,Austria,solo,160.7,2570.0,-2570.0,24,200,AUT,2021,07,03,7,186.39999999999998,0.1378755364806867
29,68416,Western States Endurance Run,Western States Endurance Run,United States,solo,161.0,5850.0,-7360.0,20,369,USA,2021,06,26,315,219.5,0.26651480637813213
30,69919,Jurassic Coast 100,Jurassic Coast 100M,United Kingdom,solo,168.2,4740.0,-4680.0,9,100,GBR,2021,06,19,50,215.6,0.21985157699443414
31,68874,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,United States,solo,158.9,3700.0,-3700.0,19,199,USA,2021,06,19,199,195.9,0.18887187340479836
32,68354,Ultra Trail Gaspesia 100,100 miles,Canada,solo,159.0,4130.0,-4130.0,21,40,CAN,2021,06,19,17,200.3,0.20619071392910632
33,70181,MARATON VIA TRANSILVANICA,VIA TRANSILVANICA ULTRAMARATON,Romania,solo,161.8,5410.0,-4950.0,8,50,ROU,2021,06,18,41,215.9,0.25057897174617877
34,71777,Oh Meu Deus,100 Milhas OMD,Portugal,solo,159.2,7330.0,-7330.0,9,85,PRT,2021,06,11,37,232.5,0.31526881720430106
35,71778,Oh Meu Deus,OH MEU DEUS 160 TEAM,Portugal,team,159.2,7330.0,-7330.0,9,5,PRT,2021,06,11,2,232.5,0.31526881720430106
36,69315,Salomon Hengill Ultra-Trail ©,100miles,Iceland,solo,161.7,5530.0,-5550.0,10,200,ISL,2021,06,04,16,217.0,0.25483870967741934
37,64849,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,Norway,solo,165.0,7046.0,-7047.0,10,150,NOR,2021,06,04,36,235.45999999999998,0.2992440329567655
38,69395,TransPenedaGerês,TPG 168k Race of the 4 Castles,Portugal,solo,166.2,9360.0,-8540.0,6,127,PRT,2021,06,03,127,259.79999999999995,0.36027713625866054
39,63925,Chester Ultra 50,Chester Ultra 100,United Kingdom,solo,167.0,1540.0,-1550.0,10,150,GBR,2021,05,29,45,182.4,0.08442982456140351
40,67033,Grand Trail Des Lacs Et Chateaux (GTLC),GT160,Belgium,solo,165.3,6200.0,-6200.0,0,200,BEL,2021,05,29,184,227.3,0.27276726792784867
41,71209,WHW & Ben Nevis Race,WHW & Ben Nevis Race,United Kingdom,solo,165.4,5110.0,-5080.0,9,30,GBR,2021,05,29,11,216.5,0.23602771362586605
42,66105,Bryce Canyon,Bryce Canyon 100 Mile,United States,solo,157.1,4310.0,-4310.0,15,300,USA,2021,05,28,223,200.2,0.2152847152847153
43,66840,Festiwal Biegowy ULTRA WAY,PORANEK NA PLAZY 160 km+,Poland,solo,163.3,3020.0,-3030.0,7,200,POL,2021,05,28,43,193.5,0.15607235142118864
44,67410,NUTS Karhunkierros,166K,Finland,solo,169.6,3910.0,-3940.0,7,250,FIN,2021,05,28,133,208.7,0.18735026353617634
45,68605,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,Norway,solo,163.0,4230.0,-4310.0,6,150,NOR,2021,05,22,71,205.3,0.20603994154895272
46,71293,Mac Mac Ultra,100m,South Africa,solo,156.8,6300.0,-6540.0,14,24,ZAF,2021,05,21,24,219.8,0.28662420382165604
47,65183,Ultra-Trail® Malopolska,UTM 170,Poland,solo,171.8,8640.0,-8640.0,8,50,POL,2021,05,21,14,258.20000000000005,0.3346243222308288
49,66949,Aktivitus Trailrace,Ultra-Trail®,Sweden,solo,169.2,4060.0,-4060.0,9,50,SWE,2021,05,13,18,209.79999999999998,0.19351763584366066
50,67422,Centurion Thames Path 100,Centurion Thames Path 100,United Kingdom,solo,161.3,3210.0,-3160.0,13,300,GBR,2021,05,08,188,193.4,0.16597724922440538
51,70708,Hubert 100,Hubert 100M,Australia,solo,157.7,2430.0,-2430.0,8,150,AUS,2021,05,08,39,182.0,0.13351648351648351
52,67736,The Dales High Way,Dales High Way + High Cup Nick,United Kingdom,solo,166.2,4430.0,-4380.0,8,200,GBR,2021,05,08,4,210.5,0.21045130641330165
53,68042,Gulag-100,Gulag-100,Greece,solo,167.1,14260.0,-14260.0,4,40,GRC,2021,05,07,10,309.7,0.46044559250887956
54,70440,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Poland,solo,164.5,6610.0,-6620.0,8,100,POL,2021,05,01,35,230.6,0.2866435385949696
55,70255,Bó Trail,Bó Trail 170K,China,solo,161.7,8440.0,-8440.0,13,100,CHN,2021,05,01,2,246.1,0.3429500203169444
56,69334,Yarikan100,Yarikan100,Japan,solo,164.7,8700.0,-8700.0,22,63,JPN,2021,05,01,63,251.7,0.3456495828367104
57,71184,Sengenyama 100,4th Sengenyama 100 (mile),Japan,solo,166.4,6110.0,-6110.0,8,50,JPN,2021,04,24,29,227.5,0.26857142857142857
58,70681,Mt. Fuji 100 Mile Challenge,100 mile,Japan,solo,161.9,7340.0,-7380.0,4,80,JPN,2021,04,23,60,235.3,0.3119422014449639
59,71704,Tamba 100 Adventure Trail,Tamba 100 Adventure Trail,Japan,solo,162.7,9200.0,-9200.0,13,100,JPN,2021,04,23,8,254.7,0.3612092658029054
60,69319,Ultra-Trail® Drakensberg,UTD 160,South Africa,solo,171.6,5160.0,-6500.0,12,52,ZAF,2021,04,23,52,223.2,0.23118279569892475
61,69523,Jiangnan 100 Mile,100Mile,China,solo,161.0,7060.0,-7060.0,13,594,CHN,2021,04,16,594,231.6,0.30483592400690845
62,65403,Zion,Zion 100,United States,solo,160.8,2830.0,-2880.0,15,250,USA,2021,04,10,160,189.10000000000002,0.14965626652564779
63,68615,Patagonia Run,100 Miles,Argentina,solo,163.7,8140.0,-8140.0,15,280,ARG,2021,04,09,238,245.1,0.33210934312525503
64,69758,Ultra Trail Jinan,168km,China,solo,161.5,10810.0,-10790.0,16,100,CHN,2021,04,09,21,269.6,0.4009643916913946
65,70118,QLG168,QLG168,China,solo,168.0,10740.0,-10740.0,10,10,CHN,2021,04,02,7,275.4,0.38997821350762535
66,66689,Volcano UltraMarathon Extreme,Volcano 100 Millas,Costa Rica,solo,160.5,6440.0,-6560.0,13,50,CRI,2021,03,30,19,224.9,0.2863494886616274
67,71992,Antelope Island Buffalo Run,100 mile,United States,solo,162.0,2200.0,-2200.0,16,400,USA,2021,03,26,55,184.0,0.11956521739130435
68,68098,Kullamannen 2021 Covid-19,Kullamannen 100 miles,Sweden,solo,163.6,1910.0,-1930.0,4,600,SWE,2021,03,26,10,182.7,0.10454296661193214
69,71140,Northburn 100 Miler,100 Mile,New Zealand,solo,161.4,9460.0,-9470.0,12,50,NZL,2021,03,20,46,256.0,0.36953125
70,68348,UTTGN Sport HG | TARRAGONA,Gran Trail Catalunya,Spain,solo,169.8,5160.0,-5160.0,13,50,ESP,2021,03,05,20,221.4,0.23306233062330622
71,64671,Victoria 162,V162 Virtual,"Hong Kong, China",solo,166.7,7700.0,-7700.0,0,200,HKG,2021,02,27,22,243.7,0.3159622486663931
73,64661,Victoria 162,3-day Race Virtual,"Hong Kong, China",solo,165.9,8320.0,-8340.0,0,100,HKG,2021,02,26,18,249.10000000000002,0.33400240867121633
74,68501,Storstenshöjden 100 miles,Storstenshöjden 100 miles,Sweden,solo,168.4,11550.0,-11530.0,0,50,SWE,2021,02,19,3,283.9,0.40683339203945057
75,64219,Tarawera Ultramarathon,100 Miler,New Zealand,solo,165.4,5510.0,-5520.0,14,300,NZL,2021,02,13,194,220.5,0.24988662131519276
76,65413,HOKA ONE ONE Rocky Raccoon,100 Mile,United States,solo,160.9,2200.0,-2200.0,19,500,USA,2021,02,06,369,182.9,0.1202843083652269
77,69001,Coldwater Rumble,100 Miles,United States,solo,161.8,2660.0,-2670.0,16,600,USA,2021,01,16,85,188.4,0.14118895966029724
78,64103,The Great Southern Alps Miler,The Great Southern Alps Miler,New Zealand,solo,160.3,3180.0,-3300.0,8,2,NZL,2021,01,15,2,192.10000000000002,0.1655387818844352
79,68010,UTCL100,UTCL 100 Miles,Indonesia,solo,161.0,6420.0,-6410.0,18,30,IDN,2021,01,09,6,225.2,0.28507992895204265
80,67526,UTSZ 2020 Trail Races,UTSZ 100 miles,China,solo,162.6,6610.0,-6630.0,8,50,CHN,2020,12,26,8,228.7,0.2890249234805422
81,68562,Run Guizhou League Finals,Luodian168KM,China,solo,167.7,9770.0,-9770.0,15,50,CHN,2020,12,25,23,265.4,0.3681235870384326
82,64575,Mad Fox Ultra Rise,Valhalla Race,Russia,solo,167.5,1200.0,-1200.0,10,168,RUS,2020,12,19,168,179.5,0.06685236768802229
83,64037,Around The Valley - Sovev Emek,sovev emek 166km,Israel,solo,172.9,3840.0,-3840.0,18,300,ISR,2020,12,10,7,211.3,0.18173213440605773
84,68007,Falls 100 Ultra Trail Race,Falls 100 - 100 Mile,United States,solo,164.5,4310.0,-4310.0,24,250,USA,2020,12,05,42,207.6,0.20761078998073218
85,58877,Blood Rock 100 Mile Endurance Trail Race,100 Mile,United States,solo,161.9,7610.0,-7610.0,16,200,USA,2020,12,04,48,238.0,0.31974789915966384
86,67289,Sky Ultra Pico Mx,SKY ULTRA PICO MX 100M,Mexico,solo,160.2,8660.0,-8660.0,15,75,MEX,2020,12,04,49,246.79999999999998,0.35089141004862234
87,67634,Ultra Trail Three Gorges,UTTG,China,solo,170.8,10470.0,-10320.0,13,200,CHN,2020,11,26,71,275.5,0.3800362976406534
88,56323,Best of San Diego 100 Miler,100 Miler,United States,solo,160.9,2590.0,-2590.0,5,5,USA,2020,11,21,5,186.8,0.1386509635974304
89,64481,Panda Trail by UTMB®,DPT,China,solo,157.8,9280.0,-9280.0,12,152,CHN,2020,11,20,152,250.60000000000002,0.3703112529928172
90,68472,Sengenyama 100,Sengenyama 100,Japan,solo,166.4,6100.0,-6100.0,4,50,JPN,2020,11,14,27,227.4,0.26824978012313105
91,68239,Jiangnan 100 Mile,100Mile - November,China,solo,160.5,7060.0,-7060.0,13,335,CHN,2020,11,13,335,231.1,0.3054954565123323
92,59437,Pinhoti 100,Pinhoti 100,United States,solo,155.0,4060.0,-4180.0,17,250,USA,2020,11,07,207,195.6,0.20756646216768918
93,62737,Rim to River Endurance Company,Rim to River 100,United States,solo,160.9,3760.0,-3750.0,8,250,USA,2020,11,07,139,198.5,0.1894206549118388
94,69754,Tunnel Hill  100 & 50 mile runs,100mi,United States,solo,161.4,1690.0,-1690.0,21,36,USA,2020,11,07,36,178.3,0.09478407178911945
95,67282,Pong Yaeng Trail,Pong Yaeng Trail 166,Thailand,solo,167.5,8280.0,-8060.0,14,200,THA,2020,11,06,138,250.3,0.3308030363563723
96,59805,Javelina Jundred,100 Miles,United States,solo,160.5,1720.0,-1720.0,26,800,USA,2020,10,31,160,177.7,0.0967923466516601
97,68633,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,United States,solo,156.0,3630.0,-3620.0,19,82,USA,2020,10,31,82,192.3,0.18876755070202805
98,67406,Halloween hike,160 km,Finland,solo,160.3,2110.0,-2110.0,5,2,FIN,2020,10,30,2,181.4,0.1163175303197354
99,62531,THAILAND BY UTMB,Inthanon 6,Thailand,solo,159.6,7340.0,-7340.0,15,500,THA,2020,10,30,80,233.0,0.3150214592274678
100,62021,Cactus Rose,100 Mile,United States,solo,162.4,3500.0,-3500.0,20,550,USA,2020,10,24,61,197.4,0.1773049645390071
101,67723,EstrelAçor Ultra Endurance,EA Penhas Manteiga 2020,Portugal,solo,157.8,6910.0,-7600.0,0,80,PRT,2020,10,23,7,226.9,0.3045394446892904
102,62193,Cloudsplitter 100,100 Mile,United States,solo,157.5,5610.0,-5610.0,16,100,USA,2020,10,17,26,213.6,0.26264044943820225
103,67914,Shanhaiguan Trail Race,168K,China,solo,162.0,9320.0,-9070.0,14,100,CHN,2020,10,17,25,255.2,0.3652037617554859
104,56017,Mines of Spain,100 Mile,United States,solo,167.5,4310.0,-4320.0,19,98,USA,2020,10,16,98,210.6,0.204653371320038
105,51397,Bèrghem Ultra,Åkersætra 666 m.o.h.,Norway,solo,163.2,2970.0,-3360.0,0,50,NOR,2020,10,10,7,192.89999999999998,0.15396578538102645
106,56693,Centurion Autumn 100,Centurion Autumn 100,United Kingdom,solo,161.5,2060.0,-2060.0,16,250,GBR,2020,10,10,151,182.1,0.11312465678198794
107,58579,Midstate Massive Ultra Trail,Midstate Massive Ultra Trail,United States,solo,163.6,3720.0,-3980.0,16,125,USA,2020,10,10,91,200.8,0.1852589641434263
108,49589,Täby Extreme Challenge,TEC 100 Miles,Sweden,solo,160.7,1610.0,-1610.0,13,180,SWE,2020,10,08,52,176.79999999999998,0.09106334841628962
109,52607,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Australia,solo,160.4,7550.0,-7590.0,7,50,AUS,2020,10,03,10,235.9,0.32005086901229335
110,54013,SPARNATRAIL,P'tiot Sparnatrail,France,solo,33.3,750.0,-750.0,1,1800,FRA,2019,11,10,693,40.8,0.18382352941176472
111,66483,Mt. Wumeng Ultra Trail,KINETIK 165K,China,solo,164.1,7440.0,-7090.0,13,80,CHN,2020,10,02,11,238.5,0.31194968553459124
112,62347,North Coast 100,North Coast 110M,United Kingdom,solo,174.5,5570.0,-5540.0,8,50,GBR,2020,10,02,19,230.2,0.24196350999131191
113,60243,Schinder-Trail Backyard Ultra,23 Loops,Germany,solo,157.2,3060.0,-3060.0,23,200,DEU,2020,10,02,7,187.79999999999998,0.16293929712460067
114,66580,TransPenedaGerês,TPG 160k Race of the 4 Castles,Portugal,solo,167.4,8010.0,-7200.0,5,87,PRT,2020,10,02,87,247.5,0.3236363636363636
115,61189,Spain Backyard Ultra,Spain Backyard Ultra  24 Loops,Spain,solo,161.1,6890.0,-6890.0,23,150,ESP,2020,09,26,7,230.0,0.2995652173913044
116,59557,BEAR 100,Bear 100 Endurance Trail Race,United States,solo,162.7,6460.0,-6130.0,13,300,USA,2020,09,25,207,227.29999999999998,0.2842058952925649
117,66321,Cold Hawaii Ultra,Cold Hawaii Ultra 100 miles,Denmark,solo,162.6,2000.0,-2010.0,6,50,DNK,2020,09,25,18,182.6,0.1095290251916758
118,65591,Mossarun,"Mossarun 2020, 24h/100 miles",Sweden,solo,171.8,3940.0,-3950.0,0,50,SWE,2020,09,19,20,211.20000000000002,0.18655303030303028
119,59995,Sangre de Cristo Ultras,100-Mile,United States,solo,168.2,5910.0,-5910.0,13,300,USA,2020,09,19,23,227.29999999999998,0.2600087989441267
120,50041,Dragon 100,Dragon 100,United Kingdom,solo,165.0,3560.0,-3550.0,11,200,GBR,2020,09,12,38,200.6,0.17746759720837488
121,53559,GUUT100+,GUUT100MILES+,Denmark,solo,167.4,1610.0,-1620.0,1,20,DNK,2020,09,12,16,183.5,0.08773841961852862
124,62121,Garmin Ultra Race Radków,Challange 158,Poland,solo,163.9,5700.0,-5700.0,11,50,POL,2020,09,11,43,220.9,0.25803531009506564
125,49901,Centurion Thames Path 100,Centurion Thames Path 100,United Kingdom,solo,161.3,3160.0,-3110.0,13,300,GBR,2020,09,05,183,192.9,0.16381544841886989
126,53999,SwissPeaks Trail,170,Switzerland,solo,167.0,11140.0,-12910.0,15,400,CHE,2020,09,03,268,278.4,0.4001436781609196
127,59481,Runfire Salt Lake Ultra,100 Mile,Turkey,solo,160.1,2770.0,-2770.0,15,32,TUR,2020,08,29,32,187.79999999999998,0.14749733759318426
128,58623,Burning River Endurance Run,100 Mile,United States,solo,163.6,2700.0,-2700.0,14,250,USA,2020,08,22,83,190.6,0.1416579223504722
129,59271,Hardmoors,110 Mi,United Kingdom,solo,169.9,3760.0,-3720.0,12,150,GBR,2020,08,22,108,207.5,0.18120481927710844
130,57055,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Poland,solo,161.6,6510.0,-6510.0,8,100,POL,2020,08,21,19,226.7,0.2871636524040582
131,54829,Persenk Ultra,PERSENK ULTRA,Bulgaria,solo,164.0,7490.0,-7500.0,13,150,BGR,2020,08,21,50,238.9,0.31352030138133113
132,61035,ULTRA 01,Ultra 165km,France,solo,167.2,7230.0,-7230.0,8,300,FRA,2020,08,21,231,239.5,0.3018789144050104
133,57587,Salomon Rondane 100,Salomon Rondane 100,Norway,solo,163.6,5450.0,-5440.0,5,93,NOR,2020,08,15,93,218.1,0.24988537368179733
134,54869,Ultra Trail des Sources,Ultra Trail des Sources,Belgium,solo,158.8,4500.0,-4500.0,8,200,BEL,2020,08,15,73,203.8,0.22080471050049066
135,65665,Columbia Sanfo Ultra 168-Chongli,UTC,China,solo,161.1,7370.0,-7370.0,15,600,CHN,2020,08,14,299,234.8,0.31388415672913117
136,55265,Sport-Marafon Trail,165 km,Russia,solo,162.5,1450.0,-1450.0,13,25,RUS,2020,08,09,25,177.0,0.08192090395480225
137,62503,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,Sweden,solo,163.7,3100.0,-3100.0,23,120,SWE,2020,08,08,3,194.7,0.15921931176168466
138,51393,Centurion North Downs Way 100,Centurion North Downs Way 100,United Kingdom,solo,168.2,3440.0,-3480.0,14,300,GBR,2020,08,08,107,202.6,0.16979269496544916
139,53939,Halland Ultra-Beach,100 miles,Sweden,solo,161.7,1740.0,-1750.0,2,50,SWE,2020,08,08,30,179.1,0.09715242881072027
140,66836,INNER MONGOLIA ULTRA MARATHON,Laoniuwan 168km,China,solo,165.2,4600.0,-4600.0,15,100,CHN,2020,08,08,61,211.2,0.2178030303030303
142,50051,Infinity Trail Backyard - Normandie,Infinity Trail - 23 boucles,France,solo,155.3,5160.0,-5160.0,1,80,FRA,2020,07,31,2,206.9,0.24939584340260995
143,56831,The Gax 100 miles,The Gax 100 miles,Sweden,solo,160.6,1510.0,-1510.0,3,72,SWE,2020,07,25,41,175.7,0.08594194649971543
144,50845,Elephant Trail Race,160 Km (100 Mile),Australia,solo,163.2,8650.0,-8630.0,13,100,AUS,2020,07,17,12,249.7,0.34641569883860635
146,60049,Silverheels 100-Mile Endurance Run,100 Mile,United States,solo,166.7,4650.0,-4650.0,24,200,USA,2020,07,11,25,213.2,0.2181050656660413
147,50803,Nuts Ylläs Pallas,160K,Finland,solo,165.7,4400.0,-4480.0,10,250,FIN,2020,07,10,77,209.7,0.20982355746304246
148,62705,Huanglong Extreme Endunrance Race,QZG+UTHL100,China,relay,159.8,7700.0,-8200.0,10,14,CHN,2020,07,03,14,236.8,0.3251689189189189
149,55429,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,Norway,solo,168.6,4670.0,-5140.0,6,150,NOR,2020,06,20,92,215.3,0.2169066418950302
150,50523,Bryce Canyon,100 Mile,United States,solo,157.1,4320.0,-4320.0,13,300,USA,2020,05,15,44,200.3,0.21567648527209188
151,48383,Jiangnan 100 Mile,100Mile,China,solo,160.5,7060.0,-7060.0,13,150,CHN,2020,04,10,1,231.1,0.3054954565123323
152,49345,Antelope Canyon,100 Mile,United States,solo,159.4,1850.0,-1850.0,10,300,USA,2020,03,14,36,177.9,0.10399100618324901
153,53633,Borneo Ultra-Trail® Marathon,100 Miles,Malaysia,solo,161.0,7620.0,-7620.0,16,300,MYS,2020,03,14,159,237.2,0.321247892074199
154,61149,Addo Elephant Trail Run,100 Mile,South Africa,solo,161.2,5640.0,-5130.0,16,100,ZAF,2020,03,13,80,217.6,0.25919117647058826
155,52827,100 MILLAS® SIERRAS DEL BANDOLERO,100 Millas,Spain,solo,161.1,6170.0,-6170.0,14,500,ESP,2020,03,06,201,222.8,0.2769299820466786
156,63235,Chattanooga 100 Mile Trail Race,Chattanooga 100 Mile Trail Race,United States,solo,158.1,3770.0,-3770.0,14,250,USA,2020,03,06,67,195.8,0.19254341164453526
157,57473,Les Traces du Nord Basse-Terre,L'Ultra-Trail®,France,solo,161.4,6240.0,-6240.0,14,400,FRA,2020,02,28,10,223.8,0.2788203753351206
159,51649,Ultra-Trail® Of Taiwan 100 miles,100 miles,Taiwan,solo,158.6,7830.0,-7830.0,10,10,TWN,2020,02,28,3,236.89999999999998,0.3305192064162094
160,55551,Ultra Trail Thailand,Inthanon 6,Thailand,solo,175.0,7850.0,-7850.0,16,100,THA,2020,02,14,55,253.5,0.3096646942800789
161,59053,Lone Star 100,100M,United States,solo,158.6,5930.0,-5850.0,9,36,USA,2020,02,08,36,217.89999999999998,0.2721431849472235
162,49059,Tarawera Ultramarathon,100 Miler,New Zealand,solo,162.4,5200.0,-5220.0,14,300,NZL,2020,02,08,259,214.4,0.24253731343283583
163,51945,Tjörnarparen - Trail Ultra,100 miles,Sweden,solo,162.1,2300.0,-2330.0,9,50,SWE,2020,02,08,11,185.1,0.1242571582928147
164,57191,Grandmaster Ultras,100 miler,United States,solo,158.6,1730.0,-1730.0,14,26,USA,2020,02,07,26,175.9,0.09835133598635588
165,61175,Orcas Island 100 Mile,Orcas Island 100 Mile,United States,solo,163.5,7570.0,-7570.0,19,90,USA,2020,02,07,52,239.2,0.31647157190635455
166,49849,HOKA ONE ONE Rocky Raccoon,100 Mile,United States,solo,163.1,2260.0,-2260.0,19,500,USA,2020,02,01,378,185.7,0.12170166935918149
167,53283,LE DERNIER HOMME DEBOUT MORVAN,24 Boucles,France,solo,169.9,5740.0,-5740.0,1,350,FRA,2020,01,25,6,227.3,0.2525296964364276
168,57131,Coldwater Rumble,100 Miles,United States,solo,161.8,2660.0,-2670.0,16,400,USA,2020,01,18,61,188.4,0.14118895966029724
169,60007,HURT 100,HURT 100 MILE ENDURANCE RUN,United States,solo,161.0,8200.0,-8200.0,0,125,USA,2020,01,18,125,243.0,0.3374485596707819
171,60495,MONTANE® Spine® Races,MONTANE® Spine® Challenger,United Kingdom,solo,174.2,4770.0,-4770.0,4,125,GBR,2020,01,11,110,221.89999999999998,0.21496169445696264
172,60491,MONTANE® Spine® Races,MRT Challenge,United Kingdom,solo,174.2,4770.0,-4770.0,4,30,GBR,2020,01,11,25,221.89999999999998,0.21496169445696264
173,44291,S1 Trail La Corsa Della Bora,Ultra,Italy,solo,166.3,6750.0,-7110.0,9,150,ITA,2020,01,04,105,233.8,0.2887082976903336
174,49431,GOLDEN 100 HONG KONG,100Miles,"Hong Kong, China",solo,163.0,9180.0,-9130.0,16,55,HKG,2019,12,27,55,254.8,0.3602825745682888
175,45417,UTSZ Trail Races,100Miles,China,solo,166.6,8110.0,-8120.0,16,100,CHN,2019,12,21,17,247.7,0.3274121921679451
177,48861,Mad Fox Ultra Revenge,Valhalla Race,Russia,solo,156.2,1650.0,-1650.0,10,200,RUS,2019,12,14,100,172.7,0.09554140127388536
178,58259,La Misión  - VLA - Argentina,La Misión 160 VLA -,Argentina,solo,163.3,7240.0,-7240.0,1,100,ARG,2019,12,12,48,235.70000000000002,0.3071701315231226
179,43585,Brazos Bend 100,100M,United States,solo,162.3,2730.0,-2720.0,6,205,USA,2019,12,07,205,189.60000000000002,0.1439873417721519
180,55417,Falls 100 Ultra Trail Race,100 Mile,United States,solo,162.5,4230.0,-4230.0,41,140,USA,2019,12,07,8,204.8,0.20654296874999997
181,43795,Exodus Ultra Marathon,Exodus,United Kingdom,solo,170.0,6550.0,-6540.0,3,50,GBR,2019,12,06,47,235.5,0.2781316348195329
182,51033,Sky Ultra Pico Mx,Sky Ultra Pico Mx 100M,Mexico,solo,159.6,8270.0,-8240.0,16,50,MEX,2019,12,06,43,242.3,0.341312422616591
